user_id_anon,session_id,timestamp,item_id,prompt,answer_raw,answer_type,difficulty,attempt_n,time_sec,hint_used,y_label,split,source_type,generation_method
u_syn_02,s_syn_02_04,2026-07-04T11:12:00Z,VARS_001,¿Cuál es la forma correcta de inicializar una variable double con el valor 5?,true,short_text_1sent,easy,2,3.84,1,E3,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_30,s_syn_30_02,2026-07-03T23:32:00Z,VARS_015,¿Qué palabra clave se utiliza para declarar una constante en Java?,final,short_text_1sent,easy,2,14.02,0,OK,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_19,s_syn_19_01,2026-07-03T21:46:00Z,VARS_006,¿Qué palabra clave se utiliza para evitar que una variable de clase se sobrescriba en una subclase?,publico,short_text_1sent,hard,1,23.18,0,E4,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_23,s_syn_23_06,2026-07-04T10:15:00Z,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,todas son locales,short_text_1sent,hard,2,7.45,1,E6,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_08,s_syn_08_02,2026-07-04T17:27:00Z,VARS_010,¿Cuál es el valor por defecto de una variable de tipo boolean en Java?,true,short_text_1sent,easy,2,23.02,0,E3,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_17,s_syn_17_01,2026-07-04T02:58:00Z,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,ninguna,short_text_1sent,medium,3,21.01,0,E1,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_30,s_syn_30_06,2026-07-03T23:09:00Z,VARS_011,¿Cuál es el rango de valores que puede almacenar una variable de tipo byte en Java?,x1x2x3,short_text_1sent,medium,1,7.38,0,E4,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_06,s_syn_06_06,2026-07-04T17:53:00Z,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,el resultado es 5,short_text_1sent,hard,1,19.04,1,E5,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_17,s_syn_17_01,2026-07-03T23:51:00Z,VARS_006,¿Qué palabra clave se utiliza para evitar que una variable de clase se sobrescriba en una subclase?,se imprime 2.5,short_text_1sent,hard,2,16.8,1,E5,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_22,s_syn_22_06,2026-07-04T04:09:00Z,VARS_014,¿Cómo se pueden declarar múltiples variables de tipo int en una sola línea en Java?,ninguna,short_text_1sent,medium,3,23.14,0,E1,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_22,s_syn_22_03,2026-07-04T01:47:00Z,VARS_010,¿Cuál es el valor por defecto de una variable de tipo boolean en Java?,una variable de clase depende de cada instancia,short_text_1sent,easy,3,9.36,0,E6,train,synthetic_augmented,plantillas controladas + variación de respuestas
u_syn_04,s_syn_04_03,2026-07-04T17:55:00Z,VARS_013,¿Cuál es el resultado de int x = 5 / 2; System.out.println(x); en Java?,el resultado es 0,short_text_1sent,medium,3,23.84,1,E5,train,synthetic_augmented,plantillas controladas + variación de respuestas
