user_id_anon,session_id,timestamp,item_id,prompt,answer_raw,answer_type,difficulty,attempt_n,time_sec,hint_used,y_label
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Todas las variables son globales.,short_text_1sent,hard,3,33.29,0,E6
synthetic,synthetic,,VARS_012,¿Cuál es el tamaño en bits de una variable de tipo int en Java?,Todo valor debe ser string.,short_text_1sent,easy,2,8.05,0,E3
synthetic,synthetic,,VARS_012,¿Cuál es el tamaño en bits de una variable de tipo int en Java?,El nombre no necesita tener significado.,short_text_1sent,easy,2,16.13,1,E4
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Una variable puede empezar por número.,short_text_1sent,hard,3,27.46,1,E4
synthetic,synthetic,,VARS_002,¿Qué modificador de acceso permite que una variable sea accesible solo dentro de la misma clase?,Una variable local siempre modifica la global.,short_text_1sent,easy,2,59.65,1,E6
synthetic,synthetic,,VARS_010,¿Cuál es el valor por defecto de una variable de tipo boolean en Java?,El tipo de dato no importa.,short_text_1sent,easy,2,31.0,1,E3
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Todas las variables son globales.,short_text_1sent,medium,1,32.07,1,E6
synthetic,synthetic,,VARS_014,¿Cómo se pueden declarar múltiples variables de tipo int en una sola línea en Java?,Asignar es solo escribir el nombre de la variable.,short_text_1sent,medium,1,37.64,0,E2
synthetic,synthetic,,VARS_013,¿Cuál es el resultado de int x = 5 / 2; System.out.println(x); en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,medium,1,27.32,0,E5
synthetic,synthetic,,VARS_009,¿Cuál es el tipo de dato por defecto para números decimales en Java?,Una variable puede empezar por número.,short_text_1sent,easy,3,35.65,1,E4
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,El resultado es 3.,short_text_1sent,medium,1,24.93,1,E5
synthetic,synthetic,,VARS_008,¿Cuál es la diferencia principal entre variables de instancia y de clase en Java?,Puede llamarse con símbolos raros.,short_text_1sent,hard,1,25.87,0,E4
synthetic,synthetic,,VARS_002,¿Qué modificador de acceso permite que una variable sea accesible solo dentro de la misma clase?,Es private,short_text_1sent,easy,1,45.68,0,OK
synthetic,synthetic,,VARS_011,¿Cuál es el rango de valores que puede almacenar una variable de tipo byte en Java?,El resultado es 3.,short_text_1sent,medium,3,21.7,1,E5
synthetic,synthetic,,VARS_011,¿Cuál es el rango de valores que puede almacenar una variable de tipo byte en Java?,no sé,short_text_1sent,medium,3,43.72,1,E1
synthetic,synthetic,,VARS_015,¿Qué palabra clave se utiliza para declarar una constante en Java?,asd,short_text_1sent,easy,3,18.74,1,E1
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Una variable puede empezar por número.,short_text_1sent,hard,3,25.98,1,E4
synthetic,synthetic,,VARS_007,¿Qué tipo de variable es String en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,medium,3,47.59,0,E5
synthetic,synthetic,,VARS_003,¿Cuál de las siguientes es una declaración correcta de una variable de tipo char en Java?,char c = 'a';,short_text_1sent,easy,3,40.6,1,OK
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Asignar es solo escribir el nombre de la variable.,short_text_1sent,hard,3,33.04,0,E2
synthetic,synthetic,,VARS_010,¿Cuál es el valor por defecto de una variable de tipo boolean en Java?,Inicializar no necesita valor.,short_text_1sent,easy,3,52.53,1,E2
synthetic,synthetic,,VARS_007,¿Qué tipo de variable es String en Java?,El resultado es 3.,short_text_1sent,medium,3,58.73,1,E5
synthetic,synthetic,,VARS_011,¿Cuál es el rango de valores que puede almacenar una variable de tipo byte en Java?,Asignar es solo escribir el nombre de la variable.,short_text_1sent,medium,2,50.01,1,E2
synthetic,synthetic,,VARS_002,¿Qué modificador de acceso permite que una variable sea accesible solo dentro de la misma clase?,El resultado es 3.,short_text_1sent,easy,1,29.24,1,E5
synthetic,synthetic,,VARS_012,¿Cuál es el tamaño en bits de una variable de tipo int en Java?,El resultado es 3.,short_text_1sent,easy,1,45.22,0,E5
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Una variable puede empezar por número.,short_text_1sent,medium,3,42.33,1,E4
synthetic,synthetic,,VARS_008,¿Cuál es la diferencia principal entre variables de instancia y de clase en Java?,Asignar es solo escribir el nombre de la variable.,short_text_1sent,hard,2,24.69,0,E2
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Todo valor debe ser string.,short_text_1sent,medium,2,59.11,0,E3
synthetic,synthetic,,VARS_013,¿Cuál es el resultado de int x = 5 / 2; System.out.println(x); en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,medium,2,23.17,1,E5
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Es Error de compilación,short_text_1sent,medium,1,24.56,1,OK
synthetic,synthetic,,VARS_006,¿Qué palabra clave se utiliza para evitar que una variable de clase se sobrescriba en una subclase?,Siempre debe ser entero.,short_text_1sent,hard,3,53.17,1,E3
synthetic,synthetic,,VARS_001,¿Cuál es la forma correcta de inicializar una variable double con el valor 5?,El resultado se mantiene igual que al inicio.,short_text_1sent,easy,3,14.02,0,E5
synthetic,synthetic,,VARS_014,¿Cómo se pueden declarar múltiples variables de tipo int en una sola línea en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,medium,3,13.7,1,E5
synthetic,synthetic,,VARS_009,¿Cuál es el tipo de dato por defecto para números decimales en Java?,double,short_text_1sent,easy,2,22.72,0,OK
synthetic,synthetic,,VARS_007,¿Qué tipo de variable es String en Java?,Siempre debe ser entero.,short_text_1sent,medium,2,41.9,0,E3
synthetic,synthetic,,VARS_013,¿Cuál es el resultado de int x = 5 / 2; System.out.println(x); en Java?,Una variable local siempre modifica la global.,short_text_1sent,medium,3,6.7,1,E6
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Todas las variables son globales.,short_text_1sent,medium,3,48.9,0,E6
synthetic,synthetic,,VARS_007,¿Qué tipo de variable es String en Java?,Un tipo de dato de objeto,short_text_1sent,medium,3,17.4,1,OK
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Inicializar no necesita valor.,short_text_1sent,medium,1,50.91,0,E2
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Declarar e inicializar son exactamente lo mismo.,short_text_1sent,hard,2,23.97,1,E2
synthetic,synthetic,,VARS_006,¿Qué palabra clave se utiliza para evitar que una variable de clase se sobrescriba en una subclase?,Una variable es una función.,short_text_1sent,hard,3,25.82,1,E1
synthetic,synthetic,,VARS_015,¿Qué palabra clave se utiliza para declarar una constante en Java?,El resultado es 3.,short_text_1sent,easy,2,36.0,1,E5
synthetic,synthetic,,VARS_014,¿Cómo se pueden declarar múltiples variables de tipo int en una sola línea en Java?,No existe diferencia entre local y global.,short_text_1sent,medium,1,49.21,0,E6
synthetic,synthetic,,VARS_014,¿Cómo se pueden declarar múltiples variables de tipo int en una sola línea en Java?,Una variable puede empezar por número.,short_text_1sent,medium,1,32.05,0,E4
synthetic,synthetic,,VARS_002,¿Qué modificador de acceso permite que una variable sea accesible solo dentro de la misma clase?,Todas las variables son globales.,short_text_1sent,easy,3,43.7,0,E6
synthetic,synthetic,,VARS_013,¿Cuál es el resultado de int x = 5 / 2; System.out.println(x); en Java?,Es 2,short_text_1sent,medium,1,7.82,0,OK
synthetic,synthetic,,VARS_012,¿Cuál es el tamaño en bits de una variable de tipo int en Java?,Inicializar no necesita valor.,short_text_1sent,easy,1,43.64,0,E2
synthetic,synthetic,,VARS_015,¿Qué palabra clave se utiliza para declarar una constante en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,easy,1,6.88,0,E5
synthetic,synthetic,,VARS_006,¿Qué palabra clave se utiliza para evitar que una variable de clase se sobrescriba en una subclase?,Una variable local siempre modifica la global.,short_text_1sent,hard,3,27.89,1,E6
synthetic,synthetic,,VARS_004,¿Qué tipo de error se produce si se intenta acceder a una variable local no inicializada en Java?,Todo valor debe ser string.,short_text_1sent,hard,2,29.58,1,E3
synthetic,synthetic,,VARS_015,¿Qué palabra clave se utiliza para declarar una constante en Java?,El tipo de dato no importa.,short_text_1sent,easy,1,55.96,1,E3
synthetic,synthetic,,VARS_001,¿Cuál es la forma correcta de inicializar una variable double con el valor 5?,Una variable es un método.,short_text_1sent,easy,3,46.61,1,E1
synthetic,synthetic,,VARS_005,¿Qué sucede si se intenta modificar una variable final en Java después de haber sido inicializada?,Es Error de compilación,short_text_1sent,medium,2,55.26,0,OK
synthetic,synthetic,,VARS_001,¿Cuál es la forma correcta de inicializar una variable double con el valor 5?,Todas las variables son globales.,short_text_1sent,easy,3,27.77,0,E6
synthetic,synthetic,,VARS_008,¿Cuál es la diferencia principal entre variables de instancia y de clase en Java?,Una variable local siempre modifica la global.,short_text_1sent,hard,2,38.91,0,E6
synthetic,synthetic,,VARS_003,¿Cuál de las siguientes es una declaración correcta de una variable de tipo char en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,easy,1,56.06,0,E5
synthetic,synthetic,,VARS_007,¿Qué tipo de variable es String en Java?,El resultado se mantiene igual que al inicio.,short_text_1sent,medium,3,21.58,0,E5
